ID,Annotation
ANLI1886,Contradiction
ANLI2372,Contradiction
ANLI2455,Neutral
ANLI2646,Entailment
ANLI3353,Neutral
ANLI3736,Contradiction
ANLI3838,Neutral
ANLI3963,Entailment
ANLI3984,Contradiction
ANLI4881,Entailment
ANLI4982,Neutral
ANLI5573,Entailment
ANLI5614,Neutral
ANLI6507,Contradiction
ANLI7123,Contradiction
ANLI7231,Neutral
ANLI7349,Entailment
ANLI7550,Neutral
ANLI7652,Neutral
ANLI7728,Contradiction
ANLI8029,Entailment
ANLI8421,Neutral
ANLI8762,Contradiction
ANLI8928,Neutral
ANLI8969,Contradiction
ANLI9246,Neutral
ANLI9553,Entailment
ANLI9979,Entailment
ANLI10192,Contradiction
ANLI10204,Contradiction
ANLI10304,Contradiction
ANLI10925,Entailment
ANLI11446,Neutral
ANLI13644,Entailment
ANLI13860,Contradiction
ANLI14011,Contradiction
ANLI14103,Contradiction
ANLI14744,Entailment
ANLI15070,Entailment
ANLI15489,Contradiction
ANLI15683,Neutral
ANLI16734,Neutral
ANLI17724,Neutral
ANLI18530,Neutral
ANLI19007,Entailment
ANLI19092,Entailment
ANLI19250,Entailment
ANLI19859,Contradiction
ANLI20592,Entailment
ANLI21078,Contradiction
ANLI22549,Neutral
ANLI23159,Contradiction
ANLI23892,Neutral
ANLI23917,Neutral
ANLI24337,Neutral
ANLI24459,Contradiction
ANLI24763,Entailment
ANLI24839,Contradiction
Fever10765,Neutral
Fever13815,Neutral
Fever14447,Neutral
Fever19163,Entailment
Fever19260,Neutral
Fever20288,Contradiction
Fever23207,Neutral
LING3,Entailment
LING51,Neutral
LING256,Contradiction
LING345,Neutral
LING414,Entailment
LING595,Neutral
LING616,Entailment
LING740,Entailment
LING1002,Entailment
LING1028,Neutral
LING1111,Neutral
LING1248,Contradiction
LING1256,Entailment
LING1288,Entailment
LING1351,Entailment
LING1372,Contradiction
LING1388,Entailment
LING1500,Neutral
LING1524,Neutral
LING1563,Contradiction
LING2152,Neutral
LING2287,Neutral
LING2336,Entailment
LING2356,Entailment
LING2392,Entailment
LING2547,Neutral
LING2560,Entailment
LING2838,Entailment
LING2909,Neutral
LING2987,Entailment
LING3015,Neutral
LING3050,Neutral
LING3075,Entailment
LING3196,Neutral
LING3245,Entailment
LING3267,Entailment
LING3281,Entailment
LING3352,Entailment
LING3446,Entailment
LING3544,Entailment
LING3625,Contradiction
LING3688,Neutral
LING4035,Contradiction
LING4154,Contradiction
LING4212,Entailment
LING4429,Contradiction
LING4489,Contradiction
LING4498,Neutral
LING4649,Neutral
LING4653,Contradiction
LING4677,Contradiction
LING4686,Neutral
LING4831,Entailment
MNLI34,Neutral
MNLI166,Contradiction
MNLI759,Neutral
MNLI930,Entailment
MNLI1191,Contradiction
MNLI1243,Contradiction
MNLI1646,Entailment
MNLI1755,Entailment
MNLI1949,Entailment
MNLI2286,Contradiction
MNLI2338,Contradiction
MNLI2873,Neutral
MNLI2897,Entailment
MNLI3670,Neutral
MNLI3986,Neutral
MNLI4005,Neutral
MNLI4338,Entailment
MNLI4350,Contradiction
MNLI4735,Neutral
MNLI4955,Contradiction
MNLI5163,Entailment
MNLI5186,Neutral
MNLI6127,Entailment
MNLI6173,Entailment
MNLI6469,Neutral
MNLI6534,Neutral
MNLI7351,Entailment
MNLI7502,Contradiction
MNLI7590,Entailment
MNLI8148,Contradiction
MNLI8727,Contradiction
MNLI9233,Entailment
MNLI9714,Neutral
MNLI9784,Neutral
MNLI9801,Entailment
MNLI9967,Neutral
MNLI11445,Entailment
MNLI11688,Entailment
MNLI11826,Contradiction
MNLI11847,Entailment
MNLI11987,Entailment
MNLI12083,Entailment
MNLI12116,Entailment
MNLI12229,Neutral
MNLI12571,Neutral
MNLI13052,Neutral
MNLI14442,Contradiction
MNLI14611,Neutral
MNLI14701,Entailment
MNLI15055,Entailment
MNLI15371,Neutral
MNLI15402,Entailment
MNLI15475,Contradiction
MNLI17412,Neutral
MNLI17912,Contradiction
