id,hypothesis,premise,relation
"ANLI1886","Der Angeklagte wird freigelassen, wenn er unschuldig ist.","Diejenigen, die des Mordes an sechs Jesuiten beschuldigt werden, werden bestraft, wenn sie für schuldig befunden werden, unabhängig davon, ob sie Zivilisten, Militärs oder einflussreiche Personen sind.","Neutral"
"ANLI2372","Sie werden nur für Fermilab bauen.","Das Ziel von FermiLab ist es sicherzustellen, dass ein Programm, das auf RedHat Enterprise läuft und zertifiziert ist, auch auf der entsprechenden Fermi Linux LTS-Version läuft. Sie haben Fermi Linux LTS für die Nutzung durch Fermilab erstellt, und das ist ihr ultimatives Ziel.","Neutral"
"ANLI2455","Wenn Sie das Jahr, in dem Robin Rimbaud geboren wurde, nehmen und die Ziffern umkehren, erhalten Sie 4691.","Robin Rimbaud (geboren 1964) ist ein elektronischer Musiker, der unter dem Namen Scanner arbeitet, da er in seinen Live-Auftritten Mobiltelefon- und Polizeiscanner verwendet. Er ist auch Mitglied der Band Githead, die aus Colin Newman von Wire, Malka Spigel und Max Franken von Minimal Compact besteht.","Entailment"
"ANLI2646","Der häufigste Insektenstich im Haushalt ist ein roter Insektenstich.","Wie man Insektenstiche beim Schlafen vermeidet<br>Bestimmen Sie, was Sie beißt. Sie können zukünftige Stiche verhindern, wenn Sie wissen, mit welchen Arten von Insekten Sie es zu tun haben. Bettwanzenstiche, die am häufigsten im Haushalt vorkommen, sind große, fleckige, rote Stiche.","Entailment"
"ANLI3353","Die Schulden der Dritten Welt haben ein xx","Ja, das tut es. Nehmen wir zum Beispiel die Schulden der Dritten Welt. Ich denke, wir sollten die Schulden der Dritten Welt unter bestimmten Bedingungen erlassen. Ich denke zum Beispiel, wenn wir überzeugt sind, dass ein Land der Dritten Welt mit vielen Schulden sich reformieren würde, dass das Geld nicht in die Hände von wenigen gelangen, sondern den Menschen helfen würde, dann macht es für uns Sinn, unseren Reichtum auf diese Weise zu nutzen oder Schulden gegen wertvolle Regenwaldflächen zu tauschen, das macht so viel Sinn, ja.","NoneSense"
"ANLI3736","Die Notwendigkeits- und Angemessenheitsklausel gilt insbesondere für abgelaufene Urheberrechte.","Warum sollte es nicht? Wenn das Gleichheitsargument unter dem Notwendigen und Angemessenen Klausel die Verlängerung des Urheberrechts für diejenigen rechtfertigt, deren Urheberrecht morgen abläuft, wenn es nicht verlängert wird, um sie mit denen, die Urheberrechte für neue Werke erhalten, gleichzustellen, warum gilt das dann nicht für das Urheberrecht des Inhabers, dessen Urheberrecht gestern abgelaufen ist?","Contradiction"
"ANLI3838","Eveland kommt aus der Gemeinde Orange County.",""Dieser Brief bezieht sich auf die Kommentare von Beth Eveland aus York Township in der Juni-Ausgabe der York Sunday News. Ich versichere Ihnen, dass der Schulvorstand des Dover Area nicht gegen seine Missionserklärung verstößt. Tatsächlich steht in der Erklärung, dass wir unsere Schüler so ausbilden, dass sie beitragende Mitglieder der Gesellschaft werden können."","Contradiction"
"ANLI3963","Senator Ghitter wird für das Präsidentenamt kandidieren.","Wenn Senator Ghitter mit seiner Auslegung des Antrags richtig liegt, würde das bedeuten, dass der Ausschuss einen Vorschlag angenommen hat, der den Regeln des Senats widerspricht, während er den Vorsitz führte; dass er und die anderen Ausschussmitglieder sowie der Schriftführer des Ausschusses diesen Antrag so verstanden, dass er bis heute Mittag um zwölf Uhr berichten müsse, obwohl der Senat erst heute um 16 Uhr zusammentreten würde; und dass niemand, einschließlich ihm selbst, wusste, dass dies gegen die Regeln verstoßen würde.","Neutral"
"ANLI3984","Der Mann und die Frau aus Osttexas sind bei klarem Verstand.","MALAKOFF, TEXAS—Ein Mann und eine Frau aus Osttexas wurden verhaftet, nachdem eine 70-jährige Frau sagte, sie hätten sie in einem Hundekäfig gehalten, geschlagen und getreten, ihr Essen und Wasser vorenthalten und sie gezwungen, über zerbrochenes Glas zu gehen. Der Fernsehsender KLTV aus Tyler berichtet, dass die 47-jährige Leonnia Darlene Anderson Castillo aus Log Cabin wegen schwerer Körperverletzung an einer älteren Person ersten Grades angeklagt ist und im Gefängnis des Henderson County in Athens auf Kaution von 50.000 Dollar festgehalten wird. Ein Buchungsbeamter des Gefängnisses lehnte es ab zu sagen, ob sie einen Anwalt habe.","Neutral"
"ANLI4881","Die Sitzung fand am 1. Oktober 1998 statt.","Im September 1998 wurde eine Einladung von diesem Ausschuss an Dr. Chopra und andere verschickt, vor dem Ausschuss zu erscheinen, und eine Mitteilung über die Sitzung wurde für den 1. Oktober 1998 herausgegeben. Diese Sitzung wurde jedoch abgesagt, da die Wissenschaftler angaben, sie seien besorgt über die Auswirkungen auf ihre Karrieren, wenn sie vor unserem Ausschuss erscheinen würden.","Contradiction"
