id,hypothesis,premise,relation
"ANLI1886","El acusado será liberado si es inocente.","Los acusados del asesinato de seis jesuitas, si son hallados culpables, serán castigados ya sean civiles, militares o personas influyentes.","Neutral"
"ANLI2372","Solo construirán para Fermilab.","El objetivo de FermiLab es asegurar que si un programa se ejecuta y está certificado en RedHat Enterprise, entonces funcionará en la correspondiente versión LTS de Fermi Linux. Han construido Fermi Linux LTS para el uso de Fermilab, y ese es su objetivo final.","Neutral"
"ANLI2455","Si tomas el año en que nació Robin Rimbaud y inviertes los dígitos, obtendrás 4691.","Robin Rimbaud (nacido en 1964) es un músico electrónico que trabaja bajo el nombre de Scanner debido a su uso de escáneres de teléfonos móviles y de policía en sus presentaciones en vivo. También es miembro de la banda Githead junto a Colin Newman de Wire, Malka Spigel y Max Franken de Minimal Compact.","NoneSense"
"ANLI2646","La picadura de bicho más común en el hogar es la picadura de bicho rojo.","Cómo evitar las picaduras de insectos mientras duermes<br>Determina qué te está picando. Podrás prevenir futuras picaduras si sabes qué tipo de insectos estás tratando. Las picaduras de chinches, las más comunes en el hogar, son grandes, manchadas y rojas.","Neutral"
"ANLI3353","La deuda del Tercer Mundo tiene un xx","Sí, lo hace. Tomemos, por ejemplo, la deuda del Tercer Mundo. Creo que deberíamos perdonar la deuda del Tercer Mundo bajo ciertas condiciones. Pienso, por ejemplo, que si estamos convencidos de que un país del Tercer Mundo que tiene mucha deuda se reformaría, que el dinero no iría a manos de unos pocos sino que ayudaría a la gente, creo que tiene sentido que usemos nuestra riqueza de esa manera, o que cambiemos deuda por tierras valiosas de selva tropical, eso tiene mucho sentido, sí.","NoneSense"
"ANLI3736","La Cláusula Necesaria y Apropiada se aplica particularmente a los derechos de autor expirados.","¿Por qué no lo haría? Si el argumento de equidad bajo la Cláusula Necesaria y Propia justifica la extensión del copyright para aquellos cuyo copyright expirará mañana si no se extiende, con el fin de ponerlos en igualdad de condiciones con aquellos que obtienen copyrights para nuevas obras, ¿por qué no se aplica al copyright del titular cuyo copyright expiró ayer?","NoneSense"
"ANLI3838","Eveland es del municipio del Condado de Orange.",""Esta carta es en relación a los comentarios realizados por Beth Eveland de York Township en el York Sunday News de junio. Les aseguro que la Junta Escolar del Área de Dover no está yendo en contra de su declaración de misión. De hecho, si leen la declaración, dice educar a nuestros estudiantes para que puedan ser miembros contribuyentes de la sociedad."","NoneSense"
"ANLI3963","El senador Ghitter se postulará para presidente.","Si el senador Ghitter tiene razón en su interpretación de la moción, eso significaría que el comité adoptó una proposición que era contraria a las Reglas del Senado mientras él estaba en la presidencia; que él y los otros miembros del comité y el secretario del comité entendieron que esta moción significaba que tenía que informar antes de las doce del mediodía de hoy, a pesar de que el Senado no se reuniría hasta las 4 p.m. de hoy; y que nadie, incluido él mismo, sabía que esto sería contrario a las reglas.","NoneSense"
"ANLI3984","el hombre y la mujer del este de Texas están en su sano juicio","MALAKOFF, TEXAS—Un hombre y una mujer del Este de Texas han sido arrestados después de que una mujer de 70 años dijera que la mantuvieron en una perrera, la golpearon y patearon, le negaron comida y agua, y la obligaron a caminar sobre vidrio roto. La estación de televisión KLTV de Tyler informa que Leonnia Darlene Anderson Castillo, de 47 años, de Log Cabin, está acusada de delito grave de primer grado por lesiones a un anciano y se encuentra detenida en la cárcel del condado de Henderson en Atenas con una fianza de $50,000. Un oficial de reservas de la cárcel se negó a decir si tenía abogado.","NoneSense"
"ANLI4881","La reunión se llevó a cabo el 1 de octubre de 1998.","En septiembre de 1998, se envió una invitación por parte de ese comité al Dr. Chopra y a otros para comparecer ante el comité, y se emitió un aviso de reunión para el 1 de octubre de 1998. Sin embargo, esa reunión fue cancelada ya que los científicos manifestaron que estaban preocupados por las repercusiones en sus carreras si comparecían ante nuestro comité.","NoneSense"
"ANLI4982","Se hicieron amenazas en un momento determinado de la historia respecto a la incertidumbre de la implementación de sanciones particulares. Estas sanciones harían que una entidad estuviera extremadamente molesta.","Corea del Norte declara su intención de reiniciar los reactores, expulsa a los inspectores de la OIEA y desmantela las cámaras de inspección, anuncia su retirada inmediata del Tratado de No Proliferación Nuclear y lanza amenazas de guerra si la ONU o los Estados Unidos imponen sanciones.","NoneSense"
"ANLI5573","Un programa puede ejecutarse en la versión LTS de Fermi Linux correspondiente si no está certificado por RedHat Enterprise.","El objetivo de FermiLab es asegurar que si un programa se ejecuta y está certificado en RedHat Enterprise, entonces se ejecutará en la correspondiente versión LTS de Fermi Linux. Han construido Fermi Linux LTS para el uso de Fermilab, y ese es su objetivo final.","NoneSense"
"ANLI5614","Si nunca usas el área, será suficiente con un par de veces a la semana.","Cómo limpiar suelos de corcho<br>Barre regularmente. Usa una escoba de cerdas suaves, un trapeador de polvo o una aspiradora con un accesorio de cepillo suave. Dependiendo de la frecuencia de uso del área, repite de 2 a 7 veces a la semana, o siempre que notes que se está llenando de polvo.","NoneSense"
"ANLI6507","La casa fue completada en la década de 1940.","Mar 10/10 a las 2:30 PM Oberlin es la orgullosa ubicación de una casa icónica del legendario arquitecto Frank Lloyd Wright, la Casa Weltzheimer/Johnson, completada en 1949. Si deseas aprender más sobre su diseño y cómo se llevó a cabo, ven al Té del Martes en el Museo de Arte Allen Memorial de Oberlin. Allí, Jill Greenwood, la Curadora de Educación de la Familia Nord del museo, compartirá historias sobre la familia Weltzheimer que comisionó la casa. Y sí, habrá té y galletas después de la presentación. Es gratis. oberlin.edu/amam/ Categorías de publicaciones:","NoneSense"
"ANLI7123","El "ellos" mencionado en este contexto se ha alineado completamente con la acusación.","Se niegan a testificar en una declaración, y mi sugerencia para ellos fue que si éramos capaces de resolver algo como resultado de esta conferencia, entonces asistirían a una declaración, porque creo que los demandados tendrían derecho a interrogarles o examinarles de otra manera antes de que ellos subieran al estrado. Y basado en eso, entonces testificarían en la corte.","NoneSense"
"ANLI7231","El artículo dice que se use la mayor parte de la gasolina en el coche.","Cómo drenar el tanque de gasolina de tu coche<br>Haz funcionar el coche cerca de la reserva, si es posible. A menos que tengas el combustible equivocado en el tanque, enciende el coche y haz que la gasolina baje hacia la reserva conduciendo. Estaciona el coche y déjalo enfriar antes de comenzar a drenarlo.","NoneSense"
