id,hypothesis,premise,relation
"ANLI1886","الذين اتُهموا باغتيال ستة يسوعيين، إذا ثبتت إدانتهم، سيعاقبون سواء كانوا مدنيين أو عسكريين أو شخصيات مؤثرة.","سيتم الإفراج عن المتهمين إذا كانوا أبرياء.","Entailment"
"ANLI2372","هدف FermiLab هو التأكد من أنه إذا كان برنامج ما يعمل ويتم اعتماده على RedHat Enterprise، فإنه سيعمل على إصدار Fermi Linux LTS المقابل. لقد قاموا ببناء Fermi Linux LTS لاستخدام Fermilab، وهذا هو هدفهم النهائي.","سوف يبنون فقط لفيرمي لاب.","Entailment"
"ANLI2455","روبن ريمبود (مواليد 1964) هو موسيقي إلكتروني يعمل تحت اسم سكنر بسبب استخدامه لأجهزة مسح الهواتف المحمولة والشرطة في الأداء المباشر. وهو أيضًا عضو في فرقة جيت هيد مع كولن نيومان من فرقة واير ومالكا سبايجل وماكس فرانكن من فرقة مينيمال كومباكت.","إذا أخذت السنة التي وُلِد فيها روبن ريمبو وعكست الأرقام، ستحصل على 4691.","Contradiction"
"ANLI2646","كيفية تجنب لدغات الحشرات أثناء النوم<br>حدد ما الذي يعضك. ستتمكن من منع اللدغات المستقبلية إذا كنت تعرف نوع الحشرات التي تتعامل معها. لدغات بق الفراش، الأكثر شيوعًا في المنزل، هي لدغات كبيرة، ملونة، حمراء.","أكثر لدغات الحشرات شيوعًا في المنزل هي لدغة الحشرة الحمراء.","Contradiction"
"ANLI3353","نعم، هذا صحيح. خذ، على سبيل المثال، ديون العالم الثالث. أعتقد أنه ينبغي علينا أن نكون متسامحين بشأن ديون العالم الثالث تحت ظروف معينة. أعتقد، على سبيل المثال، إذا كنا مقتنعين بأن دولة من دول العالم الثالث التي تعاني من ديون كثيرة ستقوم بإصلاح نفسها، وأن الأموال لن تذهب إلى أيدي القلة بل ستذهب لمساعدة الناس، أعتقد أنه من المنطقي أن نستخدم ثروتنا بهذه الطريقة، أو أن نتبادل الديون مقابل أراضٍ غابات مطيرة قيمة، فهذا يبدو منطقيًا جدًا، نعم.","ديون العالم الثالث لها xx","Entailment"
"ANLI3736","لماذا لا ينطبق ذلك؟ إذا كانت الحجة المتعلقة بالعدالة بموجب بند الضرورة والملاءمة تبرر تمديد حقوق الطبع والنشر لأولئك الذين ستنتهي حقوق الطبع والنشر الخاصة بهم غدًا إذا لم يتم تمديدها، من أجل وضعهم في نفس المستوى مع أولئك الذين يحصلون على حقوق الطبع والنشر لأعمال جديدة، فلماذا لا ينطبق ذلك على حقوق الطبع والنشر، صاحب حقوق الطبع والنشر التي انتهت أمس؟","تنطبق فقرة الضرورة والملاءمة بشكل خاص على حقوق الطبع والنشر المنتهية.","Entailment"
"ANLI3838",""هذه الرسالة تتعلق بالتعليقات التي أدلت بها بيث إيفلاند من بلدة يورك في صحيفة يورك صنداي نيوز في يونيو. أؤكد لكم أن مجلس مدرسة منطقة دوفر لا يتعارض مع بيان مهمته. في الواقع، إذا قرأت البيان، فإنه يقول إن مهمتنا هي تعليم طلابنا ليكونوا أعضاءً مساهمين في المجتمع."","إيفيلاند من بلدة مقاطعة أورانج.","Contradiction"
"ANLI3963","إذا كان السيناتور غيتير محقًا في تفسيره للاقتراح، فهذا يعني أن اللجنة اعتمدت اقتراحًا يتعارض مع قواعد مجلس الشيوخ بينما كان هو في المنصب؛ وأنه هو وأعضاء اللجنة الآخرين وكاتب اللجنة فهموا أن هذا الاقتراح يعني أنه يجب عليه أن يقدم تقريرًا بحلول الساعة الثانية عشر ظهرًا اليوم، على الرغم من أن مجلس الشيوخ لن يجتمع حتى الساعة الرابعة مساءً اليوم؛ وأنه لم يكن أحد، بما في ذلك نفسه، يعلم أن هذا سيكون مخالفًا للقواعد.","السيناتور غيتير سيترشح للرئاسة.","Contradiction"
"ANLI3984","مالاكوف، تكساس - تم القبض على رجل وامرأة من شرق تكساس بعد أن قالت امرأة تبلغ من العمر 70 عامًا إنهما احتجزاها في قفص للكلاب، وضرباها وركلاها، وحرماها من الطعام والماء، وأجبراها على المشي على زجاج مكسور. أفادت محطة التلفزيون تايلر KLTV أن ليونيا دارلين أندرسون كاستيلو البالغة من العمر 47 عامًا من لوغ كابين تواجه تهمة الاعتداء من الدرجة الأولى على كبار السن وتحتجز في سجن مقاطعة هيندرسون في أثينا بكفالة قدرها 50,000 دولار. ورفض موظف حجز السجن الإفصاح عما إذا كان لديها محامٍ.","الرجل والمرأة من شرق تكساس في حالة عقلية سليمة","NoneSense"
"ANLI4881","في سبتمبر 1998، تم إرسال دعوة من تلك اللجنة إلى الدكتور تشوبرا وآخرين للظهور أمام اللجنة، وتم إصدار إشعار بالاجتماع في 1 أكتوبر 1998. ومع ذلك، تم إلغاء ذلك الاجتماع حيث أشار العلماء إلى أنهم كانوا قلقين بشأن العواقب على مسيرتهم المهنية إذا ظهروا أمام لجنتنا.","عُقد الاجتماع في 1 أكتوبر 1998.","NoneSense"
